player,player_full_name,team_name,team_name2,mpg,fgp,fg3p,fg3a,rpg,apg,tog,ppg,weight,height,cluster
H. Beverly,Harlond Beverly,Miami,Miami,19.9032258064516,0.404761904761905,0.21875,0.304761904761905,2.29032258064516,2.29032258064516,2.2258064516129,7.2258064516129,185,76,3
H. Cattoor,Hunter Cattoor,Virginia Tech,Virginia Tech,20.2758620689655,0.395973154362416,0.379310344827586,0.778523489932886,2.48275862068966,1.10344827586207,0.551724137931035,6.03448275862069,205,75,3
H. Tyson,Hunter Tyson,Clemson,Clemson,13.5806451612903,0.4453125,0.321428571428571,0.65625,2.96774193548387,0.354838709677419,0.483870967741936,5.48387096774194,211,80,3
I. Massoud,Ismael Massoud,Wake Forest,Wake Forest,12.2258064516129,0.385245901639344,0.397590361445783,0.680327868852459,2.03225806451613,0.290322580645161,0.741935483870968,4.80645161290323,200,80,3
I. Mucius,Isaiah Mucius,Wake Forest,Wake Forest,22.7666666666667,0.425925925925926,0.346153846153846,0.240740740740741,4.66666666666667,0.933333333333333,1.3,7.33333333333333,195,80,3
I. Wilkins,Isaiah Wilkins,Virginia Tech,Virginia Tech,14.2333333333333,0.330827067669173,0.28,0.56390977443609,2.6,1.26666666666667,0.5,4,230,75,3
I. Wong,Isaiah Wong,Miami,Miami,21.1612903225806,0.415789473684211,0.372549019607843,0.268421052631579,2.96774193548387,1.03225806451613,1.67741935483871,7.74193548387097,170,75,3
J. Alvarado,Jose Alvarado,Georgia Tech,Georgia Tech,33.4583333333333,0.444029850746269,0.336,0.466417910447761,3.375,4,2.66666666666667,14.375,179,72,1
J. Baehre,Jonathan Baehre,Clemson,Clemson,13.5,0,0,1,3.5,0,3,0,209,82,3
J. Baker,Joey Baker,Duke,Duke,12.5185185185185,0.409836065573771,0.394366197183099,0.581967213114754,0.888888888888889,0.777777777777778,0.555555555555556,5.14814814814815,208,79,3
J. Banks III,James Banks III,Georgia Tech,Georgia Tech,29.6666666666667,0.528205128205128,0,0.00512820512820513,7.5,0.966666666666667,1.86666666666667,9.36666666666667,250,82,4
J. Carey,Jalen Carey,Syracuse,Syracuse,11.5,0.125,0,0,3,0.5,1.5,1.5,186,75,3
J. Champagnie,Justin Champagnie,Pittsburgh,Pitt,32.9375,0.413105413105413,0.264,0.356125356125356,7.0625,0.65625,1,12.53125,200,78,4
J. Cone,Jalen Cone,Virginia Tech,Virginia Tech,18.2666666666667,0.404371584699454,0.458015267175573,0.715846994535519,1.03333333333333,0.666666666666667,0.966666666666667,7.93333333333333,170,70,3
J. DeLaurier,Javin DeLaurier,Duke,Duke,13.2258064516129,0.554054054054054,0.166666666666667,0.0810810810810811,3.54838709677419,0.516129032258065,0.741935483870968,3.51612903225806,237,82,2
J. Durham,Juwan Durham,Notre Dame,Notre Dame,17.5,0.564705882352941,0,0.00588235294117647,4.59375,0.78125,1,7.78125,223,83,2
J. Francis,Jeremiah Francis,North Carolina,UNC,13.625,0.227272727272727,0.2,0.303030303030303,1.25,1.625,1.1875,3.25,210,72,3
J. Girard III,Joseph Girard III,Syracuse,Syracuse,33.03125,0.347578347578348,0.324074074074074,0.615384615384615,3.03125,3.53125,1.875,12.4375,181,73,1
J. Goldwire,Jordan Goldwire,Duke,Duke,24.0967741935484,0.487394957983193,0.354166666666667,0.403361344537815,2.48387096774194,2.25806451612903,0.870967741935484,4.74193548387097,185,74,3
J. Hamilton,Jairus Hamilton,Boston College,Boston College,25.75,0.427860696517413,0.280898876404494,0.442786069651741,4.25,0.916666666666667,1.58333333333333,9.5,234,80,4
J. Hamilton,Jared Hamilton,Boston College,Boston College,24.92,0.410404624277457,0.303030303030303,0.38150289017341,2.48,0.92,0.72,7.76,203,76,3
J. Heath,Jay Heath,Boston College,Boston College,33.258064516129,0.42090395480226,0.375722543352601,0.488700564971751,3.35483870967742,2.12903225806452,2.2258064516129,13.0967741935484,175,75,1
J. Hellems,Jericole Hellems,NC State,NC State,25.4838709677419,0.403921568627451,0.330097087378641,0.403921568627451,3.41935483870968,1.03225806451613,1.35483870967742,9.45161290322581,205,79,3
J. Huff,Jay Huff,Virginia,UVA,24.9666666666667,0.570652173913044,0.358490566037736,0.28804347826087,6.2,0.8,1.06666666666667,8.53333333333333,243,85,4
J. Mooney,John Mooney,Notre Dame,Notre Dame,32.6774193548387,0.459584295612009,0.295238095238095,0.242494226327945,12.7096774193548,1.70967741935484,1.32258064516129,16.1935483870968,245,81,4
J. Neath,Jahcobi Neath,Wake Forest,Wake Forest,18.4666666666667,0.421875,0.48,0.1953125,1.86666666666667,2.23333333333333,1.76666666666667,5.26666666666667,200,75,3
J. Newman III,John Newman III,Clemson,Clemson,31.6451612903226,0.44017094017094,0.303370786516854,0.38034188034188,3.93548387096774,2.19354838709677,1.32258064516129,9.48387096774194,197,77,3
J. Nwora,Jordan Nwora,Louisville,Louisville,33.0967741935484,0.43953488372093,0.402116402116402,0.43953488372093,7.70967741935484,1.29032258064516,2.09677419354839,18,225,79,4
J. Pierce,Justin Pierce,North Carolina,UNC,18.2903225806452,0.36875,0.228571428571429,0.4375,3.90322580645161,0.903225806451613,0.806451612903226,4.87096774193548,210,79,3
J. Rishwain,Julian Rishwain,Boston College,Boston College,14.9,0.31404958677686,0.333333333333333,0.743801652892562,1.93333333333333,0.933333333333333,1.2,4,190,77,3
J. Usher,Jordan Usher,Georgia Tech,Georgia Tech,26.5652173913044,0.403508771929825,0.204545454545455,0.257309941520468,4.39130434782609,2.1304347826087,2.52173913043478,8.17391304347826,225,79,4
J. White,Jack White,Duke,Duke,15.6,0.3875,0.326923076923077,0.65,2.86666666666667,0.766666666666667,0.733333333333333,3.06666666666667,222,79,3
K. Clark,Kihei Clark,Virginia,UVA,37.1333333333333,0.375,0.375,0.342857142857143,4.16666666666667,5.86666666666667,3.5,10.8,163,69,1
K. McGusty,Kameron McGusty,Miami,Miami,29.4642857142857,0.434782608695652,0.327586206896552,0.387959866220736,3.96428571428571,1.57142857142857,2.28571428571429,12.4642857142857,192,77,1
K. Moore,Khalid Moore,Georgia Tech,Georgia Tech,16.2857142857143,0.349397590361446,0.36,0.301204819277108,2.17857142857143,1.10714285714286,1.25,3.14285714285714,203,79,3
K. Stattmann,Kody Stattmann,Virginia,UVA,21.4583333333333,0.336734693877551,0.269230769230769,0.530612244897959,2.41666666666667,0.666666666666667,0.875,3.58333333333333,200,79,3
K. Stone,Keith Stone,Miami,Miami,23.3333333333333,0.348314606741573,0.189189189189189,0.415730337078652,4.61111111111111,0.944444444444444,0.944444444444444,4.94444444444445,244,80,3
K. Williams,Kamari Williams,Boston College,Boston College,11.2,0.333333333333333,0.239130434782609,0.666666666666667,0.84,0.28,0.32,2.48,200,79,3
L. Black,Leaky Black,North Carolina,UNC,29.5806451612903,0.36405529953917,0.258064516129032,0.285714285714286,5.03225806451613,2.48387096774194,1.74193548387097,6.64516129032258,195,80,4
L. Kimble,Lamarr Kimble,Louisville,Louisville,21.8064516129032,0.358974358974359,0.275862068965517,0.371794871794872,1.51612903225806,2.70967741935484,1.51612903225806,5.03225806451613,185,72,3
L. Nolley II,Landers Nolley II,Virginia Tech,Virginia Tech,30.4666666666667,0.36551724137931,0.304568527918782,0.452873563218391,5.56666666666667,2.36666666666667,2.86666666666667,15.3,230,79,4
M. Bates,Manny Bates,NC State,NC State,18.4137931034483,0.656565656565657,0,0,4.03448275862069,0.275862068965517,0.586206896551724,5.10344827586207,230,83,2
M. Devoe,Michael Devoe,Georgia Tech,Georgia Tech,34.962962962963,0.464968152866242,0.425,0.382165605095541,4.03703703703704,3.48148148148148,3.44444444444444,15.5925925925926,193,77,1
M. Diakite,Mamadi Diakite,Virginia,UVA,32.8333333333333,0.477707006369427,0.363636363636364,0.17515923566879,6.76666666666667,0.6,2.13333333333333,13.7333333333333,224,81,4
M. Dolezaj,Marek Dolezaj,Syracuse,Syracuse,33.28125,0.506849315068493,0.142857142857143,0.0319634703196347,6.4375,2.75,1.9375,10.375,185,82,4
M. Hurt,Matthew Hurt,Duke,Duke,20.5483870967742,0.486725663716814,0.392523364485981,0.473451327433628,3.7741935483871,0.870967741935484,0.838709677419355,9.74193548387097,214,81,3
M. Johnson,Markell Johnson,NC State,NC State,34.0967741935484,0.404891304347826,0.267080745341615,0.4375,4.41935483870968,6.7741935483871,3.25806451612903,12.8387096774194,175,73,1
M. Osborne,Malik Osborne,Florida State,Florida State,19.2903225806452,0.461038961038961,0.362068965517241,0.376623376623377,4.93548387096774,0.451612903225806,0.645161290322581,6,215,81,3
M. Williams,Malik Williams,Louisville,Louisville,18.6538461538462,0.496732026143791,0.290322580645161,0.202614379084967,6.11538461538462,0.346153846153846,0.653846153846154,8.46153846153846,245,83,4
M. Wright,Moses Wright,Georgia Tech,Georgia Tech,30.3,0.525806451612903,0.241379310344828,0.0935483870967742,6.8,0.866666666666667,2.6,13.0333333333333,230,81,4
M.J. Walker,M.J. Walker,Florida State,Florida State,25.2307692307692,0.37117903930131,0.360655737704918,0.532751091703057,1.69230769230769,1.46153846153846,1.46153846153846,10.5769230769231,213,77,3
N. Alleyne,Nahiem Alleyne,Virginia Tech,Virginia Tech,26.1333333333333,0.408071748878924,0.411764705882353,0.533632286995516,2.4,1.43333333333333,0.833333333333333,9.2,195,75,3
N. Laszewski,Nate Laszewski,Notre Dame,Notre Dame,20.96875,0.41025641025641,0.310077519379845,0.661538461538462,4.625,0.5,0.59375,7.4375,225,82,3
N. Popovic,Nik Popovic,Boston College,Boston College,25.6,0.435483870967742,0.333333333333333,0.241935483870968,5.2,1.55,1.95,10.5,253,83,4
O. Oguama,Ody Oguama,Wake Forest,Wake Forest,14.9354838709677,0.543859649122807,0,0,3.87096774193548,0.0967741935483871,0.806451612903226,2.93548387096774,205,81,2
O. Sarr,Olivier Sarr,Wake Forest,Wake Forest,26.7,0.526923076923077,0.142857142857143,0.0269230769230769,9,0.933333333333333,1.56666666666667,13.7333333333333,255,84,4
P. Andree,Pat Andree,NC State,NC State,13.962962962963,0.301724137931035,0.325842696629214,0.767241379310345,2.40740740740741,0.185185185185185,0.37037037037037,4.44444444444444,220,80,3
P. Hubb,Prentiss Hubb,Notre Dame,Notre Dame,35.25,0.384831460674157,0.343891402714932,0.620786516853933,2.40625,5.0625,2.65625,12.09375,175,75,1
P. Williams,Patrick Williams,Florida State,Florida State,22.5172413793103,0.458937198067633,0.32,0.241545893719807,4,1,1.72413793103448,9.24137931034483,225,80,4
P.J. Horne,P.J. Horne,Virginia Tech,Virginia Tech,28.7333333333333,0.442211055276382,0.344,0.628140703517588,4.1,0.366666666666667,0.9,7.73333333333333,230,77,3
Q. Guerrier,Quincy Guerrier,Syracuse,Syracuse,20.34375,0.496774193548387,0.125,0.154838709677419,5.3125,0.59375,1.34375,6.875,220,79,2
R. Carmody,Robby Carmody,Notre Dame,Notre Dame,13.7142857142857,0.5,0,0.230769230769231,1.57142857142857,0.571428571428571,0.857142857142857,5.42857142857143,201,76,2
R. Evans,Rayquan Evans,Florida State,Florida State,11.3793103448276,0.455882352941176,0.411764705882353,0.25,1.20689655172414,1.44827586206897,0.827586206896552,3.20689655172414,210,76,3
R. Gray,RaiQuan Gray,Florida State,Florida State,19.4827586206897,0.391891891891892,0.219512195121951,0.277027027027027,3.82758620689655,1.37931034482759,1.75862068965517,5.96551724137931,260,80,4
