player,player_full_name,team_name,team_name2,cluster,stat,value
A. Platek,Andrew Platek,North Carolina,UNC,3,fgp,0.358974358974359
A. Polite,Anthony Polite,Florida State,Florida State,3,fgp,0.406451612903226
A. Price,Asanti Price,Georgia Tech,Georgia Tech,3,fgp,0.30188679245283
A. Simms,Aamir Simms,Clemson,Clemson,4,fgp,0.474402730375427
A. Toney,Au'Diese Toney,Pittsburgh,Pitt,4,fgp,0.466960352422908
A. Walker,Anthony Walker,Miami,Miami,2,fgp,0.405063291139241
A. White,Andrien White,Wake Forest,Wake Forest,3,fgp,0.379912663755459
B. Beverly,Braxton Beverly,NC State,NC State,3,fgp,0.388888888888889
B. Boeheim,Buddy Boeheim,Syracuse,Syracuse,1,fgp,0.407834101382489
B. Childress,Brandon Childress,Wake Forest,Wake Forest,1,fgp,0.403899721448468
B. Key,Braxton Key,Virginia,UVA,4,fgp,0.435344827586207
B. Koprivica,Balsa Koprivica,Florida State,Florida State,2,fgp,0.698630136986301
B. Parham,Bubba Parham,Georgia Tech,Georgia Tech,3,fgp,0.361111111111111
B. Robinson,Brandon Robinson,North Carolina,UNC,1,fgp,0.413333333333333
B. Sidibe,Bourama Sidibe,Syracuse,Syracuse,2,fgp,0.692307692307692
C. Anthony,Cole Anthony,North Carolina,UNC,1,fgp,0.378048780487805
C. Brown,Chaundee Brown,Wake Forest,Wake Forest,4,fgp,0.455813953488372
C. Felder,CJ Felder,Boston College,Boston College,2,fgp,0.43312101910828
C. Hunter,Chase Hunter,Clemson,Clemson,3,fgp,0.377777777777778
C. Keeling,Christian Keeling,North Carolina,UNC,3,fgp,0.427083333333333
C. Lykes,Chris Lykes,Miami,Miami,1,fgp,0.432098765432099
C. Morsell,Casey Morsell,Virginia,UVA,3,fgp,0.27710843373494
C. Scott,Curran Scott,Clemson,Clemson,3,fgp,0.369127516778524
C. Stanley,Cassius Stanley,Duke,Duke,4,fgp,0.474074074074074
C. Trapp,Clyde Trapp,Clemson,Clemson,3,fgp,0.366666666666667
C.J. Bryce,C.J. Bryce,NC State,NC State,4,fgp,0.440625
D. Daniels,Devon Daniels,NC State,NC State,4,fgp,0.470059880239521
D. Funderburk,DJ Funderburk,NC State,NC State,4,fgp,0.609442060085837
D. Gak,Deng Gak,Miami,Miami,2,fgp,0.625
D. Goodwin,Dane Goodwin,Notre Dame,Notre Dame,3,fgp,0.432525951557093
D. Johnson,David Johnson,Louisville,Louisville,3,fgp,0.493055555555556
D. Olejniczak,Dominik Olejniczak,Florida State,Florida State,2,fgp,0.611111111111111
D. Perry,Darius Perry,Louisville,Louisville,3,fgp,0.391025641025641
D. Sutton,Dwayne Sutton,Louisville,Louisville,4,fgp,0.505263157894737
D. Thornton,Derryck Thornton,Boston College,Boston College,1,fgp,0.375757575757576
D. Vasiljevic,Dejan Vasiljevic,Miami,Miami,3,fgp,0.408284023668639
D. Vassell,Devin Vassell,Florida State,Florida State,4,fgp,0.489795918367347
E. Cole,Evan Cole,Georgia Tech,Georgia Tech,2,fgp,0.474226804123711
E. Hamilton,Eric Hamilton,Pittsburgh,Pitt,2,fgp,0.478632478632479
E. Hughes,Elijah Hughes,Syracuse,Syracuse,1,fgp,0.425806451612903
G. Brooks,Garrison Brooks,North Carolina,UNC,4,fgp,0.536458333333333
H. Beverly,Harlond Beverly,Miami,Miami,3,fgp,0.404761904761905
H. Cattoor,Hunter Cattoor,Virginia Tech,Virginia Tech,3,fgp,0.395973154362416
H. Tyson,Hunter Tyson,Clemson,Clemson,3,fgp,0.4453125
I. Massoud,Ismael Massoud,Wake Forest,Wake Forest,3,fgp,0.385245901639344
I. Mucius,Isaiah Mucius,Wake Forest,Wake Forest,3,fgp,0.425925925925926
I. Wilkins,Isaiah Wilkins,Virginia Tech,Virginia Tech,3,fgp,0.330827067669173
I. Wong,Isaiah Wong,Miami,Miami,3,fgp,0.415789473684211
J. Alvarado,Jose Alvarado,Georgia Tech,Georgia Tech,1,fgp,0.444029850746269
